BUG_ID,MT,SIP,SFIT ,IPT,Stress OILS,HLS,ALS,Performance OILS
C12_2,164,10,0,180,77,34,15,38
C14_2,0,10,0,60,71,34,24,65
C15_2,0,10,0,36,37,34,27,34
C16_2,4,10,0,27,58,34,19,34
C17_2,81,10,61,65,74,51,38,38
C17_4_1,307,10,61,65,74,51,38,38
C18_4,39,10,56,27,52,34,16,34
C22_6_1,220,10,3,26,42,34,16,34
C25_6_1,0,10,0,6,47,34,10,70
C27_4_1,99,10,23,136,79,29,26,34
C27_4_2,99,10,23,136,79,29,26,34
C29_1,140,10,30,16,55,34,28,35
C29_3,75,10,30,16,55,34,28,35
C29_6,28,10,30,16,55,34,28,35
C30_3,3,10,14,10,50,34,28,44
C35_3_1,22,10,0,34,69,29,18,35
C38_2,110,10,10,9,20,34,18,35
C39_3,9,10,0,7,9,34,23,34
C42_1,0,10,0,9,9,34,24,34
C42_3,0,10,0,9,9,34,24,34
C42_6,0,10,0,9,9,34,24,34
C43_1,0,10,0,9,12,34,39,35
C43_6,0,10,0,9,12,34,39,35
C44_2,0,10,0,0,12,34,55,34
C45_3,4,10,0,7,11,34,53,35
C45_4,21,10,0,7,11,34,53,35
UNDETECTED,887,350,294,799,1235,1229,928,1330
